1785734811009,bot13,rtt,51
1785734811010,bot25,rtt,53
1785734811011,bot17,rtt,53
1785734811012,bot27,rtt,55
1785734811014,bot15,rtt,56
1785734811015,bot19,rtt,55
1785734811017,bot29,rtt,59
1785734811018,bot21,rtt,58
1785734811019,bot23,rtt,62
1785734811025,bot26,rtt,68
1785734811027,bot28,rtt,70
1785734811045,bot0,rtt,79
1785734811046,bot2,rtt,81
1785734811047,bot4,rtt,82
1785734811048,bot6,rtt,82
1785734811049,bot8,rtt,83
1785734811050,bot1,rtt,75
1785734811051,bot10,rtt,91
1785734811052,bot3,rtt,86
1785734811053,bot5,rtt,78
1785734811055,bot7,rtt,89
1785734811056,bot9,rtt,81
1785734811057,bot11,rtt,82
1785734811997,bot24,rtt,44
1785734812002,bot10,rtt,42
1785734812003,bot12,rtt,46
1785734812004,bot14,rtt,47
1785734812005,bot16,rtt,48
1785734812006,bot18,rtt,47
1785734812007,bot20,rtt,47
1785734812007,bot15,rtt,50
1785734812007,bot13,rtt,50
1785734812008,bot22,rtt,51
1785734812008,bot17,rtt,49
1785734812008,bot25,rtt,51
1785734812009,bot19,rtt,49
1785734812009,bot27,rtt,52
1785734812010,bot21,rtt,50
1785734812010,bot29,rtt,53
1785734812011,bot23,rtt,54
1785734812011,bot26,rtt,54
1785734812012,bot28,rtt,55
1785734812018,bot0,rtt,46
1785734812019,bot2,rtt,47
1785734812019,bot4,rtt,47
1785734812020,bot8,rtt,48
1785734812021,bot6,rtt,49
1785734812021,bot3,rtt,49
1785734812022,bot5,rtt,41
1785734812026,bot7,rtt,54
1785734812027,bot9,rtt,46
1785734812028,bot11,rtt,47
1785734812042,bot1,rtt,61
1785734812999,bot24,rtt,44
1785734813000,bot28,rtt,41
1785734813001,bot29,rtt,42
1785734813006,bot15,rtt,47
1785734813012,bot10,rtt,51
1785734813012,bot13,rtt,53
1785734813013,bot12,rtt,54
1785734813013,bot17,rtt,52
1785734813014,bot14,rtt,55
1785734813015,bot16,rtt,56
1785734813016,bot19,rtt,55
1785734813017,bot21,rtt,56
1785734813019,bot18,rtt,58
1785734813020,bot23,rtt,61
1785734813024,bot20,rtt,63
1785734813025,bot22,rtt,66
1785734813029,bot25,rtt,70
1785734813031,bot26,rtt,72
1785734813033,bot27,rtt,74
1785734813036,bot1,rtt,55
1785734813044,bot0,rtt,71
1785734813046,bot3,rtt,73
1785734813047,bot5,rtt,66
1785734813048,bot2,rtt,75
1785734813048,bot7,rtt,75
1785734813049,bot4,rtt,77
1785734813050,bot6,rtt,77
1785734813050,bot9,rtt,69
1785734813051,bot8,rtt,78
1785734813052,bot11,rtt,71
1785734813998,bot24,rtt,44
1785734814002,bot12,rtt,42
1785734814002,bot14,rtt,42
1785734814003,bot13,rtt,43
1785734814003,bot16,rtt,43
1785734814005,bot23,rtt,47
1785734814005,bot22,rtt,45
1785734814006,bot26,rtt,48
1785734814006,bot25,rtt,46
1785734814006,bot28,rtt,46
1785734814007,bot27,rtt,47
1785734814007,bot29,rtt,47
1785734814008,bot15,rtt,48
1785734814016,bot10,rtt,52
1785734814021,bot17,rtt,57
1785734814022,bot19,rtt,58
1785734814023,bot18,rtt,59
1785734814023,bot21,rtt,59
1785734814024,bot20,rtt,60
1785734814032,bot0,rtt,57
1785734814033,bot1,rtt,51
1785734814038,bot2,rtt,63
1785734814038,bot3,rtt,63
1785734814038,bot4,rtt,63
1785734814039,bot6,rtt,64
1785734814039,bot5,rtt,57
1785734814039,bot8,rtt,64
1785734814040,bot7,rtt,65
1785734814040,bot9,rtt,58
1785734814040,bot11,rtt,58
1785734815004,bot24,rtt,47
1785734815006,bot25,rtt,42
1785734815007,bot27,rtt,43
1785734815007,bot29,rtt,43
1785734815018,bot15,rtt,54
1785734815025,bot13,rtt,61
1785734815028,bot17,rtt,60
1785734815030,bot8,rtt,45
1785734815031,bot19,rtt,63
1785734815032,bot10,rtt,64
1785734815034,bot21,rtt,66
1785734815035,bot12,rtt,71
1785734815036,bot23,rtt,73
1785734815038,bot14,rtt,74
1785734815041,bot16,rtt,77
1785734815042,bot26,rtt,78
1785734815044,bot18,rtt,76
1785734815045,bot28,rtt,81
1785734815047,bot20,rtt,79
1785734815048,bot22,rtt,84
1785734815071,bot1,rtt,86
1785734815072,bot3,rtt,87
