1785733668334,bot28,rtt,521
1785733668360,bot4,rtt,345
1785733668360,bot6,rtt,345
1785733668362,bot14,rtt,350
1785733668362,bot0,rtt,347
1785733668363,bot2,rtt,350
1785733668364,bot26,rtt,355
1785733668365,bot16,rtt,353
1785733668446,bot12,rtt,248
1785733668452,bot8,rtt,256
1785733668453,bot10,rtt,255
1785733668453,bot18,rtt,255
1785733668453,bot20,rtt,251
1785733668454,bot22,rtt,256
1785733668543,bot27,rtt,1718
1785733668544,bot29,rtt,1719
1785733668571,bot3,rtt,1558
1785733668572,bot5,rtt,1560
1785733668574,bot9,rtt,1562
1785733668578,bot13,rtt,1566
1785733668579,bot15,rtt,1567
1785733668581,bot17,rtt,1572
1785733668585,bot23,rtt,1576
1785733668723,bot1,rtt,1529
1785733668724,bot7,rtt,1527
1785733668724,bot11,rtt,1527
1785733668725,bot19,rtt,1524
